recording	participant	candidate	residual_stage	spatial_rank	residual_protocol	channel_name	band	band_low_hz	band_high_hz	kind	position	authorized_line_hz	neighbouring_line_hz	centre_frequency_hz	injection_start_frequency_hz	injection_drift_hz	injection_occupancy	injection_phase_rad	phase_modulation_hz	phase_deviation_rad	injection_amplitude_v	requested_component_to_background_db	background_recovery_runtime_s	background_residual_runtime_s	injected_recovery_runtime_s	injected_residual_runtime_s	background_residual_round_count	injected_residual_round_count	filter_geometry_changed	injected_frequency_fir_unavailable	background_band_retained_share	injected_band_retained_share	background_terminal_residual_detector_null	background_targeted_local_background_excess_null	stage	injected_energy_v2	difference_energy_v2	measured_component_to_background_db	remaining_fraction	collateral_fraction	amplitude_ratio	component_error_fraction	component_correlation	subspace_phase_error_degrees	band_power_ratio	band_power_change_db	band_phase_error_degrees	terminal_residual_detector_null	targeted_local_background_excess_null	artifact_gate_passed	preservation_gate_passed
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	stationary	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.400000000000006	0	1	0.44879895051282759	0	0	1.8134841408059112e-07	-10	6.0616729170142207	12.54148533398984	5.9253343750024214	5.2237462080083787	2	2	False	False	1	1	True	False	recovery	8.3460885872471208e-09	1.2152764886189521e-11	-9.9999999999999982	0.00018412400961945053	0.0012719790210575755	0.013569230251545241	1.02728371759389	-0.99856782890040818	176.9331812811161	0.00088314189659588992	-30.539695116459676	174.17931611265396				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	stationary	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.400000000000006	0	1	0.44879895051282759	0	0	1.8134841408059112e-07	-10	6.0616729170142207	12.54148533398984	5.9253343750024214	5.2237462080083787	2	2	False	False	1	1	True	False	final	8.3460885872471208e-09	1.2150251032339667e-11	-9.9999999999999982	0.00018414411784010279	0.0012716577114030381	0.013569971180518505	1.0272852395872205	-0.99856864501995712	176.93405542433993	0.00088314316862517326	-30.539688861124009	174.17932315704996	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	drifting	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.200000000000003	0.40000000000000002	1	0.44879895051282759	0	0	4.0426400522723013e-08	-10	6.0616729170142207	12.54148533398984	6.4650041669956408	5.2839184579788707	2	2	False	False	1	1	True	False	recovery	4.1474925496113588e-10	1.8239565505354973e-10	-9.9999999999999982	0.22811168138307819	0.2116616343535411	0.47761038659463656	0.27289108827634223	0.99999981147548045	0.03518217352583747	0.44445720716757131	-3.52170047034909	40.137746289306257				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	drifting	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.200000000000003	0.40000000000000002	1	0.44879895051282759	0	0	4.0426400522723013e-08	-10	6.0616729170142207	12.54148533398984	6.4650041669956408	5.2839184579788707	2	2	False	False	1	1	True	False	final	4.1474925496113588e-10	1.8239487615346423e-10	-9.9999999999999982	0.22811008103122116	0.21166135670301375	0.47760871121789766	0.27289283897939293	0.99999981115925773	0.03521166769017256	0.44445668923785592	-3.5217055312221017	40.137747602073972	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	intermittent	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.400000000000006	0	0.5	0.44879895051282759	0	0	2.7304704645766429e-07	-10	6.0616729170142207	12.54148533398984	6.453445749997627	5.6176888750051148	2	2	False	False	1	1	True	False	recovery	9.4602023025572818e-09	5.3682966770864045e-11	-9.9999999999999982	5.4595154671841898e-05	0.0056200157102937473	0.0073888534071154706	1.0147307583442347	-0.99312859390536234	173.27936496055528	0.0053818363369787766	-22.690695133778661	146.02027474866188				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	intermittent	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.400000000000006	0	0.5	0.44879895051282759	0	0	2.7304704645766429e-07	-10	6.0616729170142207	12.54148533398984	6.453445749997627	5.6176888750051148	2	2	False	False	1	1	True	False	final	9.4602023025572818e-09	5.3661992672105927e-11	-9.9999999999999982	5.4626777505132496e-05	0.0056177669996977115	0.0073909929985850002	1.0147351298161464	-0.99313468714230546	173.28234880965425	0.0053818313777643061	-22.690699135684952	146.0203178464518	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	phase_modulated	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.400000000000006	0	1	0.44879895051282759	0.10000000000000001	1	1.457306523139713e-07	-10	6.0616729170142207	12.54148533398984	6.8668999170185998	5.8559480420080945	2	2	False	False	1	1	True	False	recovery	5.3896041458100136e-09	1.1816400694884134e-09	-9.9999999999999982	0.042761785839137326	0.17648252923863289	0.20678923047184378	0.62918938693996718	0.99998534245593029	0.3102197673292401	0.22272373158696498	-6.5223350569537839	78.951316749085152				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	phase_modulated	exact	80.400000000000006	81.650000000000006	80.400000000000006	80.400000000000006	0	1	0.44879895051282759	0.10000000000000001	1	1.457306523139713e-07	-10	6.0616729170142207	12.54148533398984	6.8668999170185998	5.8559480420080945	2	2	False	False	1	1	True	False	final	5.3896041458100136e-09	1.1816326287982974e-09	-9.9999999999999982	0.042761188328424446	0.17648174618596435	0.20678778573316278	0.6291916743744087	0.99998535331212057	0.3101048627820566	0.22272281108437672	-6.5223530060972337	78.951306712049302	False	False	False	
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	stationary	near	80.400000000000006	81.650000000000006	80.600000000000009	80.600000000000009	0	1	0.44879895051282759	0	0	5.0664132678450334e-08	-10	6.0616729170142207	12.54148533398984	6.4211585000157356	5.6167920829902869	2	2	False	False	1	1	True	False	recovery	6.5141193705645182e-10	6.5179722182853691e-10	-9.9999999999999982	0.99948068289503844	0.0011107781300449884	0.99974030772748101	1.0799816705116619e-07	0.99999997971568744	0.011540321666297426	1.0051205026776411	0.022181319164280063	0.32030518518873607				
sub-0013_task-thermalactive_run-3_eeg	sub-0013	multitaper	lines		frozen	Cz	comb80	80.025000000000006	82.025000000000006	stationary	near	80.400000000000006	81.650000000000006	80.600000000000009	80.600000000000009	0	1	0.44879895051282759	0	0	5.0664132678450334e-08	-10	6.0616729170142207	12.54148533398984	6.4211585000157356	5.6167920829902869	2	2	False	False	1	1	True	False	final	6.5141193705645182e-10	6.5179578775100802e-10	-9.9999999999999982	0.99947671370727453	0.0011125458268048611	0.99973832261611062	1.0873282643818247e-07	0.99999997986584477	0.011497527818230898	1.0051195142915681	0.022177048523820568	0.32030454802608221	False	False	False	
