recording	participant	arm	stopbands	of_lines	peaks_above_2dB	worst_prom_db	worst_level_db	median_suppression_db	comb_db	correlation	change_rms	fir_rounds	delta_kept	theta_kept	alpha_kept	beta_kept	gamma_kept
sub-0011_task-thermalactive_run-3_eeg	sub-0011	combined	4	99	0	1.78	1.1100000000000001	-4.0899999999999999	0.31	0.99461999999999995	0.070330000000000004	2	1	1	1	0.98170000000000002	0.95299999999999996
sub-0011_task-thermalactive_run-4_eeg	sub-0011	combined	16	178	19	36.729999999999997	1.5	-8.8300000000000001	-0.81000000000000005	0.99417999999999995	0.056370000000000003	4	1	1	1	1	0.84670000000000001
sub-0011_task-thermalactive_run-5_eeg	sub-0011	combined	10	130	15	11.93	1.0700000000000001	-5.9000000000000004	0	0.99433000000000005	0.050869999999999999	1	1	1	1	0.95820000000000005	0.90569999999999995
sub-0011_task-thermalactive_run-6_eeg	sub-0011	combined	17	169	18	7.0599999999999996	1.48	-8.9800000000000004	-1.1100000000000001	0.99492000000000003	0.040599999999999997	2	1	1	1	0.98170000000000002	0.83799999999999997
sub-0012_task-thermalactive_run-1_eeg	sub-0012	combined	11	110	4	2.0800000000000001	3.0299999999999998	-4.9400000000000004	-0.040000000000000001	0.99890999999999996	0.046149999999999997	1	1	1	1	1	0.92849999999999999
sub-0012_task-thermalactive_run-2_eeg	sub-0012	combined	9	128	4	25.82	2.5699999999999998	-5.5899999999999999	0.02	0.99917999999999996	0.040419999999999998	3	1	1	1	1	0.89990000000000003
sub-0012_task-thermalactive_run-3_eeg	sub-0012	combined	9	142	2	2.5699999999999998	1.5800000000000001	-7.8600000000000003	-0.22	0.99675999999999998	0.079339999999999994	1	1	1	1	1	0.92049999999999998
sub-0012_task-thermalactive_run-4_eeg	sub-0012	combined	9	150	2	2.6400000000000001	2.4300000000000002	-8.6600000000000001	-0.040000000000000001	0.99648999999999999	0.079769999999999994	2	1	1	1	1	0.90800000000000003
sub-0012_task-thermalactive_run-5_eeg	sub-0012	combined	6	148	2	2.3399999999999999	2.4199999999999999	-7.04	-0.28999999999999998	0.99553000000000003	0.087739999999999999	1	1	1	1	0.9758	0.94099999999999995
sub-0012_task-thermalactive_run-6_eeg	sub-0012	combined	12	160	6	4.6799999999999997	2.52	-9.7200000000000006	-0.56000000000000005	0.99641999999999997	0.075120000000000006	2	1	1	1	0.96989999999999998	0.89100000000000001
sub-0013_task-thermalactive_run-1_eeg	sub-0013	combined	0	75	13	25.120000000000001	-4.4400000000000004	-7.6500000000000004	-6.5	0.97613000000000005	0.21714	1	0.67820000000000003	0.76070000000000004	0.746	0.71699999999999997	0.7036
sub-0013_task-thermalactive_run-2_eeg	sub-0013	combined	2	74	4	2.96	0.17000000000000001	-2.7599999999999998	0.14000000000000001	0.99963000000000002	0.02717	2	1	1	1	0.96989999999999998	0.97729999999999995
sub-0013_task-thermalactive_run-3_eeg	sub-0013	combined	0	92	0	1.55	0.17999999999999999	-3.2599999999999998	0.17000000000000001	0.99934999999999996	0.035000000000000003	1	1	1	1	1	0.98350000000000004
sub-0013_task-thermalactive_run-4_eeg	sub-0013	combined	4	95	1	2.1600000000000001	0.19	-4.4900000000000002	-0	0.99922999999999995	0.03671	1	1	1	1	1	0.95820000000000005
sub-0013_task-thermalactive_run-5_eeg	sub-0013	combined	3	96	1	2.0899999999999999	-1.03	-5.5300000000000002	0.25	0.99882000000000004	0.041610000000000001	1	1	1	1	1	0.90469999999999995
sub-0013_task-thermalactive_run-6_eeg	sub-0013	combined	5	90	2	4.9299999999999997	-0.070000000000000007	-4.5199999999999996	0.28999999999999998	0.99875000000000003	0.043499999999999997	1	1	1	1	0.96989999999999998	0.94530000000000003
sub-0014_task-thermalactive_run-1_eeg	sub-0014	combined	2	120	0	1.8700000000000001	0.40999999999999998	-6.8200000000000003	0.11	0.99900999999999995	0.040779999999999997	1	1	1	1	1	0.96250000000000002
sub-0014_task-thermalactive_run-2_eeg	sub-0014	combined	7	124	0	1.72	0.85999999999999999	-6.5099999999999998	0.29999999999999999	0.99868999999999997	0.044819999999999999	2	1	1	1	1	0.95450000000000002
sub-0014_task-thermalactive_run-3_eeg	sub-0014	combined	3	117	4	3.8399999999999999	1.6899999999999999	-5.3600000000000003	0.23999999999999999	0.99900999999999995	0.038219999999999997	1	1	1	1	1	0.97230000000000005
sub-0014_task-thermalactive_run-4_eeg	sub-0014	combined	1	134	0	2	1.1699999999999999	-5.9100000000000001	0.080000000000000002	0.99909999999999999	0.036630000000000003	1	1	1	1	1	0.96350000000000002
sub-0014_task-thermalactive_run-5_eeg	sub-0014	combined	1	105	7	18.699999999999999	0.65000000000000002	-5.0099999999999998	0.19	0.99888999999999994	0.03807	2	1	1	1	1	0.91159999999999997
sub-0014_task-thermalactive_run-6_eeg	sub-0014	combined	1	102	6	8.4100000000000001	-2.5099999999999998	-9.4100000000000001	-6.4699999999999998	0.97763	0.16342000000000001	2	0.67820000000000003	0.76070000000000004	0.746	0.73460000000000003	0.6956
sub-0015_task-thermalactive_run-1_eeg	sub-0015	combined	8	135	5	3.75	-2.4100000000000001	-6.6399999999999997	-0.10000000000000001	0.99944999999999995	0.032530000000000003	2	1	1	1	0.98170000000000002	0.91920000000000002
sub-0015_task-thermalactive_run-2_eeg	sub-0015	combined	13	122	2	2.4500000000000002	-2.8500000000000001	-6.1600000000000001	0.17999999999999999	0.99697000000000002	0.059889999999999999	2	1	1	1	0.98170000000000002	0.90400000000000003
sub-0015_task-thermalactive_run-3_eeg	sub-0015	combined	10	151	7	4.5300000000000002	-2.04	-8.1600000000000001	-0	0.99711000000000005	0.051459999999999999	2	1	1	1	1	0.92669999999999997
sub-0015_task-thermalactive_run-4_eeg	sub-0015	combined	11	127	5	5.1399999999999997	-2.3199999999999998	-7.2599999999999998	-0.23000000000000001	0.99800999999999995	0.042939999999999999	2	1	1	1	0.9405	0.93700000000000006
sub-0015_task-thermalactive_run-5_eeg	sub-0015	combined	12	148	10	3.5899999999999999	-2.4300000000000002	-8.2699999999999996	-0.040000000000000001	0.99751999999999996	0.040899999999999999	2	1	1	1	1	0.91849999999999998
sub-0015_task-thermalactive_run-6_eeg	sub-0015	combined	10	135	2	3.2000000000000002	-2.5499999999999998	-7.04	0.28999999999999998	0.99722	0.03857	2	1	1	1	1	0.92649999999999999
