recording	participant	arm	n_targets	n_scanner_harmonics	fir_rounds	n_fir_stopbands	peaks_above_2dB	peaks_above_null_p99	null_p99_db	null_frac_over_2db	comb_db	damage_half_hz	unavail_hz_total	unavail_hz_fir_only	correlation	change_rms	delta_kept	delta_kept_fir_only	theta_kept	theta_kept_fir_only	alpha_kept	alpha_kept_fir_only	beta_kept	beta_kept_fir_only	gamma_kept	gamma_kept_fir_only
sub-0008_task-thermalactive_run-3_eeg	sub-0008	derived_shipped	132	1	4	20	41	3	18.09	0.1036	-1.08	0.2	31.6	7.35	0.98489	0.0662	1.0	1.0	1.0	1.0	1.0	1.0	0.9221	0.9735	0.6197	0.9028
sub-0008_task-thermalactive_run-6_eeg	sub-0008	derived_shipped	137	1	2	16	30	11	4.5	0.0533	-0.41	0.2	30.93	6.0	0.98165	0.04569	1.0	1.0	1.0	1.0	1.0	1.0	0.9206	0.9853	0.6413	0.9504
sub-0009_task-thermalactive_run-1_eeg	sub-0009	derived_shipped	134	0	2	10	10	13	1.83	0.0093	-6.33	0.2	28.8	3.2	0.99717	0.06373	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	1.0	0.6513	0.9579
sub-0009_task-thermalactive_run-2_eeg	sub-0009	derived_shipped	134	1	2	10	12	11	2.23	0.0455	-6.18	0.2	28.51	3.15	0.99306	0.07341	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	1.0	0.6692	0.9569
sub-0009_task-thermalactive_run-4_eeg	sub-0009	derived_shipped	134	0	2	10	15	18	1.69	0.0045	-5.89	0.2	28.68	2.8	0.99431	0.05509	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	1.0	0.6538	0.9559
sub-0009_task-thermalactive_run-3_eeg	sub-0009	derived_shipped	143	0	2	10	13	21	1.34	0.0053	-6.58	0.2	30.65	3.15	0.99172	0.06953	1.0	1.0	1.0	1.0	1.0	1.0	0.9059	1.0	0.6393	0.9619
sub-0009_task-thermalactive_run-5_eeg	sub-0009	derived_shipped	116	0	2	11	21	15	2.67	0.0138	-1.05	0.2	27.48	5.6	0.99726	0.04893	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	1.0	0.6989	0.9529
sub-0009_task-thermalactive_run-6_eeg	sub-0009	derived_shipped	129	0	3	17	19	1	20.56	0.0207	-1.16	0.2	30.2	6.85	0.99596	0.04465	1.0	1.0	1.0	1.0	1.0	1.0	0.9147	0.9853	0.6358	0.8978
sub-0010_task-thermalactive_run-1_eeg	sub-0010	derived_shipped	94	2	2	22	21	10	3.55	0.0851	0.31	0.2	24.88	7.88	0.99079	0.10329	1.0	1.0	1.0	1.0	1.0	1.0	0.9294	1.0	0.7219	0.8862
sub-0010_task-thermalactive_run-3_eeg	sub-0010	derived_shipped	111	4	1	7	15	6	3.41	0.0807	0.1	0.2	24.86	2.45	0.99519	0.06427	1.0	1.0	1.0	1.0	1.0	1.0	0.9765	1.0	0.7067	0.9689
sub-0010_task-thermalactive_run-2_eeg	sub-0010	derived_shipped	112	2	2	11	23	22	2.15	0.0423	0.13	0.2	25.41	5.52	0.99521	0.07087	1.0	1.0	1.0	1.0	1.0	1.0	0.9353	1.0	0.7273	0.9549
sub-0010_task-thermalactive_run-4_eeg	sub-0010	derived_shipped	112	2	2	6	28	4	6.09	0.025	-0.08	0.2	24.52	3.85	0.99403	0.06087	1.0	1.0	1.0	1.0	1.0	1.0	0.9588	1.0	0.7216	0.9409
